substance,ec,cas,clp_class,h_code
"Hydrocarbons, C6-7, naphtha-cracking, solvent-refined; Low boiling point modified naphtha; [A complex combination of hydrocarbons obtained by the sorption of benzene from a catalytically fully hydrogenated benzene-rich hydrocarbon cut that was distillatively obtained from prehydrogenated cracked naphtha.  It consists predominantly of paraffinic and naphthenic hydrocarbons having carbon numbers predominantly in the range of C6 through C7 and boiling in the range of approximately 70°C to 100°C (158°F to 212°F).]",295-446-8,92045-64-2,Muta. 1B,H340
"Hydrocarbons, C6-7, naphtha-cracking, solvent-refined; Low boiling point modified naphtha; [A complex combination of hydrocarbons obtained by the sorption of benzene from a catalytically fully hydrogenated benzene-rich hydrocarbon cut that was distillatively obtained from prehydrogenated cracked naphtha.  It consists predominantly of paraffinic and naphthenic hydrocarbons having carbon numbers predominantly in the range of C6 through C7 and boiling in the range of approximately 70°C to 100°C (158°F to 212°F).]",295-446-8,92045-64-2,Asp. Tox. 1,H304
"Hydrocarbons, C6-rich, hydrotreated light naphtha distillates, solvent-refined; Low boiling point modified naphtha; [A complex combination of hydrocarbons obtained by distillation of hydrotreated naphtha followed by solvent extraction.  It consists predominantly of saturated hydrocarbons and boiling in the range of approximately 65°C to 70°C (149°F to 158°F).]",309-871-4,101316-67-0,Carc. 1B,H350
"Hydrocarbons, C6-rich, hydrotreated light naphtha distillates, solvent-refined; Low boiling point modified naphtha; [A complex combination of hydrocarbons obtained by distillation of hydrotreated naphtha followed by solvent extraction.  It consists predominantly of saturated hydrocarbons and boiling in the range of approximately 65°C to 70°C (149°F to 158°F).]",309-871-4,101316-67-0,Muta. 1B,H340
"Hydrocarbons, C6-rich, hydrotreated light naphtha distillates, solvent-refined; Low boiling point modified naphtha; [A complex combination of hydrocarbons obtained by distillation of hydrotreated naphtha followed by solvent extraction.  It consists predominantly of saturated hydrocarbons and boiling in the range of approximately 65°C to 70°C (149°F to 158°F).]",309-871-4,101316-67-0,Asp. Tox. 1,H304
"Naphtha (petroleum), heavy catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by a distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 65°C to 230°C (148°F to 446°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-055-7,64741-54-4,Carc. 1B,H350
"Naphtha (petroleum), heavy catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by a distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 65°C to 230°C (148°F to 446°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-055-7,64741-54-4,Muta. 1B,H340
"Naphtha (petroleum), heavy catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by a distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 65°C to 230°C (148°F to 446°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-055-7,64741-54-4,Asp. Tox. 1,H304
"Naphtha (petroleum), light catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C11 and boiling in the range of approximately -20°C to 190°C (-4°F to 374°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-056-2,64741-55-5,Carc. 1B,H350
"Naphtha (petroleum), light catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C11 and boiling in the range of approximately -20°C to 190°C (-4°F to 374°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-056-2,64741-55-5,Muta. 1B,H340
"Naphtha (petroleum), light catalytic cracked; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C11 and boiling in the range of approximately -20°C to 190°C (-4°F to 374°F).  It contains a relatively large proportion of unsaturated hydrocarbons.]",265-056-2,64741-55-5,Asp. Tox. 1,H304
"Hydrocarbons, C3-11, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillations of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C3 through C11 and boiling in a range approximately up to 204°C (400°F).]",270-686-6,68476-46-0,Carc. 1B,H350
"Hydrocarbons, C3-11, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillations of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C3 through C11 and boiling in a range approximately up to 204°C (400°F).]",270-686-6,68476-46-0,Muta. 1B,H340
"Hydrocarbons, C3-11, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillations of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C3 through C11 and boiling in a range approximately up to 204°C (400°F).]",270-686-6,68476-46-0,Asp. Tox. 1,H304
"Naphtha (petroleum), catalytic cracked light distd.; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C1 through C5.]",272-185-8,68783-09-5,Carc. 1B,H350
"Naphtha (petroleum), catalytic cracked light distd.; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C1 through C5.]",272-185-8,68783-09-5,Muta. 1B,H340
"Naphtha (petroleum), catalytic cracked light distd.; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic cracking process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C1 through C5.]",272-185-8,68783-09-5,Asp. Tox. 1,H304
"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.; Low boiling point cat-cracked naphtha.; [A complex combination of hydrocarbons obtained by treating a light distillate from steam-cracked naphtha.  It consists predominantly of aromatic hydrocarbons.]",295-311-3,91995-50-5,Carc. 1B,H350
"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.; Low boiling point cat-cracked naphtha.; [A complex combination of hydrocarbons obtained by treating a light distillate from steam-cracked naphtha.  It consists predominantly of aromatic hydrocarbons.]",295-311-3,91995-50-5,Muta. 1B,H340
"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.; Low boiling point cat-cracked naphtha.; [A complex combination of hydrocarbons obtained by treating a light distillate from steam-cracked naphtha.  It consists predominantly of aromatic hydrocarbons.]",295-311-3,91995-50-5,Asp. Tox. 1,H304
"Naphtha (petroleum), heavy catalytic cracked, sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting a catalytic cracked petroleum distillate to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 60°C to 200°C (140°F to 392°F).]",295-431-6,92045-50-6,Carc. 1B,H350
"Naphtha (petroleum), heavy catalytic cracked, sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting a catalytic cracked petroleum distillate to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 60°C to 200°C (140°F to 392°F).]",295-431-6,92045-50-6,Muta. 1B,H340
"Naphtha (petroleum), heavy catalytic cracked, sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting a catalytic cracked petroleum distillate to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C6 through C12 and boiling in the range of approximately 60°C to 200°C (140°F to 392°F).]",295-431-6,92045-50-6,Asp. Tox. 1,H304
"Naphtha (petroleum), light catalytic cracked sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting naphtha from a catalytic cracking process to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons boiling in a range of approximately 35°C to 210°C (95°F to 410°F).]",295-441-0,92045-59-5,Carc. 1B,H350
"Naphtha (petroleum), light catalytic cracked sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting naphtha from a catalytic cracking process to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons boiling in a range of approximately 35°C to 210°C (95°F to 410°F).]",295-441-0,92045-59-5,Muta. 1B,H340
"Naphtha (petroleum), light catalytic cracked sweetened; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by subjecting naphtha from a catalytic cracking process to a sweetening process to convert mercaptans or to remove acidic impurities.  It consists predominantly of hydrocarbons boiling in a range of approximately 35°C to 210°C (95°F to 410°F).]",295-441-0,92045-59-5,Asp. Tox. 1,H304
"Hydrocarbons, C8-12, catalytic-cracking, chem. neutralized; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of a cut from the catalytic cracking process, having undergone an alkaline washing.  It consists predominantly of hydrocarbons having carbon numbers in the range of C8 through C12 and boiling in the range of approximately 130°C to 210°C (266°F to 410°F).]",295-794-0,92128-94-4,Carc. 1B,H350
"Hydrocarbons, C8-12, catalytic-cracking, chem. neutralized; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of a cut from the catalytic cracking process, having undergone an alkaline washing.  It consists predominantly of hydrocarbons having carbon numbers in the range of C8 through C12 and boiling in the range of approximately 130°C to 210°C (266°F to 410°F).]",295-794-0,92128-94-4,Muta. 1B,H340
"Hydrocarbons, C8-12, catalytic-cracking, chem. neutralized; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons produced by the distillation of a cut from the catalytic cracking process, having undergone an alkaline washing.  It consists predominantly of hydrocarbons having carbon numbers in the range of C8 through C12 and boiling in the range of approximately 130°C to 210°C (266°F to 410°F).]",295-794-0,92128-94-4,Asp. Tox. 1,H304
"Hydrocarbons, C8-12, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by distillation of products from a catalytic cracking process. It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C8 through C12 and boiling in the range of approximately 140°C to 210°C (284°F to 410°F).]",309-974-4,101794-97-2,Carc. 1B,H350
"Hydrocarbons, C8-12, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by distillation of products from a catalytic cracking process. It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C8 through C12 and boiling in the range of approximately 140°C to 210°C (284°F to 410°F).]",309-974-4,101794-97-2,Muta. 1B,H340
"Hydrocarbons, C8-12, catalytic cracker distillates; Low boiling point cat-cracked naphtha; [A complex combination of hydrocarbons obtained by distillation of products from a catalytic cracking process. It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C8 through C12 and boiling in the range of approximately 140°C to 210°C (284°F to 410°F).]",309-974-4,101794-97-2,Asp. Tox. 1,H304
"Hydrocarbons, C8-12, catalytic cracking, chem. neutralized, sweetened; Low boiling point cat-cracked naphtha",309-987-5,101896-28-0,Carc. 1B,H350
"Hydrocarbons, C8-12, catalytic cracking, chem. neutralized, sweetened; Low boiling point cat-cracked naphtha",309-987-5,101896-28-0,Muta. 1B,H340
"Hydrocarbons, C8-12, catalytic cracking, chem. neutralized, sweetened; Low boiling point cat-cracked naphtha",309-987-5,101896-28-0,Asp. Tox. 1,H304
"Naphtha (petroleum), light catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 190°C (95°F to 374°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",265-065-1,64741-63-5,Carc. 1B,H350
"Naphtha (petroleum), light catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 190°C (95°F to 374°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",265-065-1,64741-63-5,Muta. 1B,H340
"Naphtha (petroleum), light catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 190°C (95°F to 374°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",265-065-1,64741-63-5,Asp. Tox. 1,H304
"Naphtha (petroleum), heavy catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of predominantly aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 90°C to 230°C (194°F to 446°F).]",265-070-9,64741-68-0,Carc. 1B,H350
"Naphtha (petroleum), heavy catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of predominantly aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 90°C to 230°C (194°F to 446°F).]",265-070-9,64741-68-0,Muta. 1B,H340
"Naphtha (petroleum), heavy catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced from the distillation of products from a catalytic reforming process.  It consists of predominantly aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 90°C to 230°C (194°F to 446°F).]",265-070-9,64741-68-0,Asp. Tox. 1,H304
"Distillates (petroleum), catalytic reformed depentanizer; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons from the distillation of products from a catalytic reforming process.  It consists predominantly of aliphatic hydrocarbons having carbon numbers predominantly in the range of C3 through C6 and boiling in the range of approximately -49°C to 63°C (-57°F to 145°F).]",270-660-4,68475-79-6,Carc. 1B,H350
"Distillates (petroleum), catalytic reformed depentanizer; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons from the distillation of products from a catalytic reforming process.  It consists predominantly of aliphatic hydrocarbons having carbon numbers predominantly in the range of C3 through C6 and boiling in the range of approximately -49°C to 63°C (-57°F to 145°F).]",270-660-4,68475-79-6,Muta. 1B,H340
"Distillates (petroleum), catalytic reformed depentanizer; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons from the distillation of products from a catalytic reforming process.  It consists predominantly of aliphatic hydrocarbons having carbon numbers predominantly in the range of C3 through C6 and boiling in the range of approximately -49°C to 63°C (-57°F to 145°F).]",270-660-4,68475-79-6,Asp. Tox. 1,H304
"Hydrocarbons, C2-6, C6-8 catalytic reformer; Low boiling point cat-reformed naphtha",270-687-1,68476-47-1,Carc. 1B,H350
"Hydrocarbons, C2-6, C6-8 catalytic reformer; Low boiling point cat-reformed naphtha",270-687-1,68476-47-1,Muta. 1B,H340
"Hydrocarbons, C2-6, C6-8 catalytic reformer; Low boiling point cat-reformed naphtha",270-687-1,68476-47-1,Asp. Tox. 1,H304
"Residues (petroleum), C6-8 catalytic reformer; Low boiling point cat-reformed naphtha; [A complex residuum from the catalytic reforming of C6-8 feed.  It consists of hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",270-794-3,68478-15-9,Carc. 1B,H350
"Residues (petroleum), C6-8 catalytic reformer; Low boiling point cat-reformed naphtha; [A complex residuum from the catalytic reforming of C6-8 feed.  It consists of hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",270-794-3,68478-15-9,Muta. 1B,H340
"Residues (petroleum), C6-8 catalytic reformer; Low boiling point cat-reformed naphtha; [A complex residuum from the catalytic reforming of C6-8 feed.  It consists of hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",270-794-3,68478-15-9,Asp. Tox. 1,H304
"Naphtha (petroleum), light catalytic reformed, arom.-free; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained from distillation of products from a catalytic reforming process.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C5 through C8 and boiling in the range of approximately 35°C to 120°C (95°F to 248°F).  It contains a relatively large proportion of branched chain hydrocarbons with the aromatic components removed.]",270-993-5,68513-03-1,Carc. 1B,H350
"Naphtha (petroleum), light catalytic reformed, arom.-free; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained from distillation of products from a catalytic reforming process.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C5 through C8 and boiling in the range of approximately 35°C to 120°C (95°F to 248°F).  It contains a relatively large proportion of branched chain hydrocarbons with the aromatic components removed.]",270-993-5,68513-03-1,Muta. 1B,H340
"Naphtha (petroleum), light catalytic reformed, arom.-free; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained from distillation of products from a catalytic reforming process.  It consists predominantly of hydrocarbons having carbon numbers predominantly in the range of C5 through C8 and boiling in the range of approximately 35°C to 120°C (95°F to 248°F).  It contains a relatively large proportion of branched chain hydrocarbons with the aromatic components removed.]",270-993-5,68513-03-1,Asp. Tox. 1,H304
"Distillates (petroleum), catalytic reformed straight-run naphtha overheads; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by the catalytic reforming of straight-run naphtha followed by the fractionation of the total effluent.  It consists of saturated aliphatic hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",271-008-1,68513-63-3,Carc. 1B,H350
"Distillates (petroleum), catalytic reformed straight-run naphtha overheads; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by the catalytic reforming of straight-run naphtha followed by the fractionation of the total effluent.  It consists of saturated aliphatic hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",271-008-1,68513-63-3,Muta. 1B,H340
"Distillates (petroleum), catalytic reformed straight-run naphtha overheads; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by the catalytic reforming of straight-run naphtha followed by the fractionation of the total effluent.  It consists of saturated aliphatic hydrocarbons having carbon numbers predominantly in the range of C2 through C6.]",271-008-1,68513-63-3,Asp. Tox. 1,H304
"Petroleum products, hydrofiner-powerformer reformates; Low boiling point cat-reformed naphtha; [The complex combination of hydrocarbons obtained in a hydrofiner-powerformer process and boiling in a range of approximately 27°C to 210°C (80°F to 410°F).]",271-058-4,68514-79-4,Carc. 1B,H350
"Petroleum products, hydrofiner-powerformer reformates; Low boiling point cat-reformed naphtha; [The complex combination of hydrocarbons obtained in a hydrofiner-powerformer process and boiling in a range of approximately 27°C to 210°C (80°F to 410°F).]",271-058-4,68514-79-4,Muta. 1B,H340
"Petroleum products, hydrofiner-powerformer reformates; Low boiling point cat-reformed naphtha; [The complex combination of hydrocarbons obtained in a hydrofiner-powerformer process and boiling in a range of approximately 27°C to 210°C (80°F to 410°F).]",271-058-4,68514-79-4,Asp. Tox. 1,H304
"Naphtha (petroleum), full-range reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of the products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C12 and boiling in the range of approximately 35°C to 230°C (95°F to 446°F).]",272-895-8,68919-37-9,Carc. 1B,H350
"Naphtha (petroleum), full-range reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of the products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C12 and boiling in the range of approximately 35°C to 230°C (95°F to 446°F).]",272-895-8,68919-37-9,Muta. 1B,H340
"Naphtha (petroleum), full-range reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of the products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C5 through C12 and boiling in the range of approximately 35°C to 230°C (95°F to 446°F).]",272-895-8,68919-37-9,Asp. Tox. 1,H304
"Naphtha (petroleum), catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C12 and boiling in the range of approximately 30°C to 220°C (90°F to 430°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",273-271-8,68955-35-1,Carc. 1B,H350
"Naphtha (petroleum), catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C12 and boiling in the range of approximately 30°C to 220°C (90°F to 430°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",273-271-8,68955-35-1,Muta. 1B,H340
"Naphtha (petroleum), catalytic reformed; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons produced by the distillation of products from a catalytic reforming process.  It consists of hydrocarbons having carbon numbers predominantly in the range of C4 through C12 and boiling in the range of approximately 30°C to 220°C (90°F to 430°F).  It contains a relatively large proportion of aromatic and branched chain hydrocarbons.  This stream may contain 10 vol. % or more benzene.]",273-271-8,68955-35-1,Asp. Tox. 1,H304
"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction; Low boiling point cat-reformed naphtha; [A complex combination of alkylbenzenes obtained by the catalytic reforming of petroleum naphtha.  It consists predominantly of alkylbenzenes having carbon numbers predominantly in the range of C8 through C10 and boiling in the range of approximately 160°C to 180°C (320°F to 356°F).]",285-509-8,85116-58-1,Carc. 1B,H350
"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction; Low boiling point cat-reformed naphtha; [A complex combination of alkylbenzenes obtained by the catalytic reforming of petroleum naphtha.  It consists predominantly of alkylbenzenes having carbon numbers predominantly in the range of C8 through C10 and boiling in the range of approximately 160°C to 180°C (320°F to 356°F).]",285-509-8,85116-58-1,Muta. 1B,H340
"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction; Low boiling point cat-reformed naphtha; [A complex combination of alkylbenzenes obtained by the catalytic reforming of petroleum naphtha.  It consists predominantly of alkylbenzenes having carbon numbers predominantly in the range of C8 through C10 and boiling in the range of approximately 160°C to 180°C (320°F to 356°F).]",285-509-8,85116-58-1,Asp. Tox. 1,H304
"Aromatic hydrocarbons, C8, catalytic reforming-derived; Low boiling point cat-reformed naphtha",295-279-0,91995-18-5,Carc. 1B,H350
"Aromatic hydrocarbons, C8, catalytic reforming-derived; Low boiling point cat-reformed naphtha",295-279-0,91995-18-5,Muta. 1B,H340
"Aromatic hydrocarbons, C8, catalytic reforming-derived; Low boiling point cat-reformed naphtha",295-279-0,91995-18-5,Asp. Tox. 1,H304
"Aromatic hydrocarbons, C7-12, C8-rich; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 (primarily C8) and can contain nonaromatic hydrocarbons, both boiling in the range of approximately 130°C to 200°C (266°F to 392°F).]",297-401-8,93571-75-6,Carc. 1B,H350
"Aromatic hydrocarbons, C7-12, C8-rich; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 (primarily C8) and can contain nonaromatic hydrocarbons, both boiling in the range of approximately 130°C to 200°C (266°F to 392°F).]",297-401-8,93571-75-6,Muta. 1B,H340
"Aromatic hydrocarbons, C7-12, C8-rich; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of aromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 (primarily C8) and can contain nonaromatic hydrocarbons, both boiling in the range of approximately 130°C to 200°C (266°F to 392°F).]",297-401-8,93571-75-6,Asp. Tox. 1,H304
"Gasoline, C5-11, high-octane stabilised reformed; Low boiling point cat-reformed naphtha; [A complex high octane combination of hydrocarbons obtained by the catalytic dehydrogenation of a predominantly naphthenic naphtha.  It consists predominantly of aromatics and non-aromatics having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 45°C to 185°C (113°F to 365°F).]",297-458-9,93572-29-3,Carc. 1B,H350
"Gasoline, C5-11, high-octane stabilised reformed; Low boiling point cat-reformed naphtha; [A complex high octane combination of hydrocarbons obtained by the catalytic dehydrogenation of a predominantly naphthenic naphtha.  It consists predominantly of aromatics and non-aromatics having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 45°C to 185°C (113°F to 365°F).]",297-458-9,93572-29-3,Muta. 1B,H340
"Gasoline, C5-11, high-octane stabilised reformed; Low boiling point cat-reformed naphtha; [A complex high octane combination of hydrocarbons obtained by the catalytic dehydrogenation of a predominantly naphthenic naphtha.  It consists predominantly of aromatics and non-aromatics having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 45°C to 185°C (113°F to 365°F).]",297-458-9,93572-29-3,Asp. Tox. 1,H304
"Hydrocarbons, C7-12, C≥9-arom.-rich, reforming heavy fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 120°C to 210°C (248°F to 380°F) and C9 and higher aromatic hydrocarbons.]",297-465-7,93572-35-1,Carc. 1B,H350
"Hydrocarbons, C7-12, C≥9-arom.-rich, reforming heavy fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 120°C to 210°C (248°F to 380°F) and C9 and higher aromatic hydrocarbons.]",297-465-7,93572-35-1,Muta. 1B,H340
"Hydrocarbons, C7-12, C≥9-arom.-rich, reforming heavy fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C7 through C12 and boiling in the range of approximately 120°C to 210°C (248°F to 380°F) and C9 and higher aromatic hydrocarbons.]",297-465-7,93572-35-1,Asp. Tox. 1,H304
"Hydrocarbons, C5-11, nonaroms.-rich, reforming light fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 125°C (94°F to 257°F), benzene and toluene.]",297-466-2,93572-36-2,Carc. 1B,H350
"Hydrocarbons, C5-11, nonaroms.-rich, reforming light fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 125°C (94°F to 257°F), benzene and toluene.]",297-466-2,93572-36-2,Muta. 1B,H340
"Hydrocarbons, C5-11, nonaroms.-rich, reforming light fraction; Low boiling point cat-reformed naphtha; [A complex combination of hydrocarbons obtained by separation from the platformate-containing fraction.  It consists predominantly of nonaromatic hydrocarbons having carbon numbers predominantly in the range of C5 through C11 and boiling in the range of approximately 35°C to 125°C (94°F to 257°F), benzene and toluene.]",297-466-2,93572-36-2,Asp. Tox. 1,H304
